"institname","instaddress","city","stateabbrev","zip","phonenum","website","institutionalcat","carnegieclass","instsize","sector","instlevel","instcontrol","primpubcontrol","histblack","tribal","ostsectit4","landgrant","religiousaffil","eduofferings","highestoffering","employservcs","speciallrngopps","distanceed","empid","opeid","tenuresys","corerev","coreexp","insructexpfte","pubservexpfte","acadsuppexpfte","studservexpfte","inssuppexpfte","otherexpfte","prctexpsalarieswages","endowfte","equityratio","equityratioforprofit","tuitionprctrev","stateprctrev","localapprctrev","privateprctrev","investprctrev","researchprctexp","instprctexp","pubservprctexp","acadprctexp","studsrvprctexp","instsuppprctexp","avgnetprice","netpriceweb","priceindistoncampus","priceinstateoncampus","priceoutstateoncampus","priceindistoffcampus","priceinstateoffcampus","priceoutstateoffcampus","priceindistoffwithfam","ttlenroll","prctugft","prctug1sttime","prctugtransfer","prctugcontin","prctugnondegree","penrollwh","penrollblk","penrollasian","penrollaian","penrollasnhpi","penrollnhpi","penrollhisp","penrollundoc","penroll2ormorerace","penrollwomen","pugunder18","pug18_24","pug25p","pug1styr_instate","pug1styr_outstate","palldisted","padmitted","padmittedmen","padmittedwomen","ftretention","ptretention","gradrt","gradrtmen","gradrtwomen","gradrtwh","gradrtbk","gradrtasian","gradrtaian","gradrtasnhpi","gradrtnhpi","gradrt2ormore","gradrthisp","gradrtundoc","transferoutrate","assoctot","passocmen","passocwomen","passocwh","passocbk","passocasian","passocaian","passocnhpi","passoc2ormore","passochisp","passocundoc","passocund18","passoc18_24","passoc25_39","passoc40p","awardlt4tot","pawardlt4men","pawardlt4women","pawardlt4wh","pawardlt4bk","pawardlt4asian","pawardlt4aian","pawardlt4nhpi","pawardlt42ormore","pawardlt4hisp","pawardlt4undoc","pawardlt4und18","pawardlt418_24","pawardlt425_39","pawardlt440p","Source","Location"
"CET-Sacramento","8376 Fruitridge Road","Sacramento","CA","95828","408-287-7924","http://cetweb.org","Nondegree-granting, sub-baccalaureate","","Under 1,000","Private not-for-profit, less-than 2-year","Less than 2 years (below associate)","Private not-for-profit (no religious affiliation)","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Adult basic remedial or high school equivalent","At least 1, but less than 2 academic yrs","Academic/career counseling service, Employment services for students, Placement services for completers","Remedial services","","941658311","2332845","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://cetweb.org/for-students/financial-aid/net-price-calculator/","","Not Indicated","","Not Indicated","","","","101","100.0","31.7","0.0","68.3","0.0","16","28","14","3","17","3","30","0","7","46","","","","100","0","0","","","","86","Not Indicated","84","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","","","","","","","","","","","","","","","","94","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
"My Le's Beauty College","4516 Florin Road","Sacramento","CA","95823","916-422-0223","http://www.mylebeautycollegeinc.com","Nondegree-granting, sub-baccalaureate","","Under 1,000","Private for-profit, less-than 2-year","Less than 2 years (below associate)","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational","At least 1, but less than 2 academic yrs","Placement services for completers","","","204270012","3458300","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://www.mylebeautycollegeinc.com","","Not Indicated","","Not Indicated","","","","105","55.2","37.1","0.0","62.9","0.0","3","9","84","0","84","0","5","0","0","93","","","","100","0","0","","","","93","87","92","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","","","","","","","","","","","","","","","","124","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
"Brightwood College-Sacramento","4330 Watt Ave., Suite 400","Sacramento","CA","95821","916-480-4201","http://www.brightwood.edu","Degree-granting, associate's and certificates","Associates Colleges","Under 1,000","Private for-profit, 2-year","At least 2 but less than 4 years","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic","Associate's degree","Academic/career counseling service, Employment services for students, Placement services for completers","Weekend/evening college, Remedial services","","582056947","2351900","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://www.brightwood.edu/paying-for-school/tuition-calculator/","","Not Indicated","","Not Indicated","","","","224","100.0","35.7","3.6","60.7","0.0","21","15","10","1","12","1","33","0","1","83","0","60","40","98","3","0","","","","82","Not Indicated","62","53","63","68","41","57","50","57","50","50","68","Not Indicated","Not Indicated","21","28.6","71.4","19.0","14.3","4.8","0.0","0.0","0.0","61.9","0.0","0.0","47.6","47.6","4.8","","28.6","71.4","19.0","14.3","4.8","0.0","0.0","0.0","61.9","0.0","0.0","47.6","47.6","4.8","NCES","Sacramento (County, 2022)"
"MTI College","5221 Madison Avenue","Sacramento","CA","95841","916-339-1500","http://www.mticollege.edu","Degree-granting, associate's and certificates","Associates Colleges","Under 1,000","Private for-profit, 2-year","At least 2 but less than 4 years","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic","Associate's degree","Academic/career counseling service, Employment services for students, Placement services for completers","Weekend/evening college, Remedial services","Undergraduate programs or courses only","941620973","1291200","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://www.mticollege.edu/programs_npcalc/","","Not Indicated","","Not Indicated","","","","798","100.0","24.6","57.4","18.0","0.0","47","9","10","1","11","1","24","0","6","75","","","","100","0","0","77","79","77","84","Not Indicated","63","50","66","74","39","84","50","80","0","47","62","Not Indicated","Not Indicated","88","36.4","63.6","56.8","12.5","9.1","0.0","0.0","2.3","14.8","0.0","0.0","17.0","62.5","20.5","337","36.4","63.6","56.8","12.5","9.1","0.0","0.0","2.3","14.8","0.0","0.0","17.0","62.5","20.5","NCES","Sacramento (County, 2022)"
"Cosmo Beauty Academy","3500 Fulton Avenue","Sacramento","CA","95821","916-779-0143","http://www.cosmobeautyacademy.edu","Nondegree-granting, sub-baccalaureate","","Under 1,000","Private for-profit, less-than 2-year","Less than 2 years (below associate)","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational","At least 1, but less than 2 academic yrs","Placement services for completers","","","141952335","4163400","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://www.cosmobeautyacademy.edu","","Not Indicated","","Not Indicated","","","","106","29.2","11.3","0.0","88.7","0.0","19","11","5","1","6","1","50","10","3","97","","","","100","0","0","","","","100","86","95","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","","","","","","","","","","","","","","","","71","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
"National Career Education","6249 Sunrise Blvd","Citrus Heights","CA","95610","916-969-4900","http://www.nceschool.com","Degree-granting, associate's and certificates","","Under 1,000","Private for-profit, 2-year","At least 2 but less than 4 years","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic","Associate's degree","Placement services for completers","Weekend/evening college","","942317605","2128301","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://https://nceschool.com/NetPriceCalculator-7/npcalc.htm","","Not Indicated","","Not Indicated","","","","318","100.0","22.3","20.1","57.5","0.0","31","19","13","1","14","1","25","0","2","60","","","","100","0","0","","","","72","Not Indicated","80","73","92","86","56","100","50","100","Not Indicated","Not Indicated","87","Not Indicated","Not Indicated","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
"Asher College","1215 Howe Ave Suite 101","Sacramento","CA","95825","916-649-9600","http://www.asher.edu","Degree-granting, associate's and certificates","","Under 1,000","Private for-profit, 2-year","At least 2 but less than 4 years","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic","Associate's degree","Academic/career counseling service, Employment services for students, Placement services for completers","Weekend/evening college","","943313694","4057300","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://www.asher.edu","","Not Indicated","","Not Indicated","","","","570","5.8","42.5","0.0","57.5","0.0","33","34","14","1","15","2","15","0","1","41","","","","50","50","0","","","","5","29","80","75","100","67","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","100","Not Indicated","Not Indicated","90","58.9","41.1","41.1","21.1","16.7","1.1","1.1","0.0","18.9","0.0","0.0","4.4","62.2","30.0","139","58.9","41.1","41.1","21.1","16.7","1.1","1.1","0.0","18.9","0.0","0.0","4.4","62.2","30.0","NCES","Sacramento (County, 2022)"
"Le Cordon Bleu College of Culinary Arts-Sacramento","2450 Del Paso Road","Sacramento","CA","95834","916-830-6220","http://www.chefs.edu/Sacramento","Degree-granting, associate's and certificates","","Under 1,000","Private for-profit, 2-year","At least 2 but less than 4 years","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic","Associate's degree","Academic/career counseling service, Employment services for students, Placement services for completers","","","261642438","2569303","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://chefs.studentaidcalculator.com","","Not Indicated","","Not Indicated","","","","132","100.0","0.0","0.0","100.0","0.0","30","16","5","0","10","5","2","0","2","48","0","40","60","","","0","","","","Not Indicated","Not Indicated","65","66","64","68","58","64","60","67","75","0","75","Not Indicated","Not Indicated","87","56.3","43.7","43.7","11.5","9.2","2.3","3.4","0.0","4.6","0.0","0.0","40.2","42.5","17.2","","56.3","43.7","43.7","11.5","9.2","2.3","3.4","0.0","4.6","0.0","0.0","40.2","42.5","17.2","NCES","Sacramento (County, 2022)"
"Carrington College-Sacramento","8909 Folsom Blvd","Sacramento","CA","95826","916-361-1660","http://www.carrington.edu","Degree-granting, associate's and certificates","Associates Colleges","1,000 - 4,999","Private for-profit, 2-year","At least 2 but less than 4 years","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic","Associate's degree","Academic/career counseling service, Employment services for students, Placement services for completers","Weekend/evening college","Undergraduate programs or courses only","943166490","974800","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://carrington.edu/financial-aid/net-price-calculator/","","Not Indicated","","Not Indicated","","","","1186","78.8","3.0","8.4","88.5","0.0","36","9","12","1","14","2","31","0","3","90","1","49","50","89","11","24","46","35","47","57","73","63","64","63","53","63","83","100","83","Not Indicated","50","68","Not Indicated","8","510","11.6","88.4","38.2","6.9","15.1","1.6","2.5","4.7","22.7","0.0","0.0","33.1","56.7","10.2","","11.6","88.4","38.2","6.9","15.1","1.6","2.5","4.7","22.7","0.0","0.0","33.1","56.7","10.2","NCES","Sacramento (County, 2022)"
"Carrington College-Citrus Heights","7301 Greenback Lane, Ste A","Citrus Heights","CA","95621","916-722-8200","http://www.carrington.edu","Degree-granting, associate's and certificates","","Under 1,000","Private for-profit, 2-year","At least 2 but less than 4 years","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic","Associate's degree","Academic/career counseling service, Employment services for students, Placement services for completers","Weekend/evening college","Undergraduate programs or courses only","943166490","974804","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://carrington.edu/financial-aid/net-price-calculator/","","Not Indicated","","Not Indicated","","","","448","96.4","6.3","18.5","75.2","0.0","58","5","4","1","5","1","22","0","8","85","1","60","39","100","0","0","35","25","37","72","Not Indicated","59","54","60","60","38","100","57","88","75","40","60","Not Indicated","6","45","15.6","84.4","64.4","4.4","4.4","4.4","2.2","2.2","13.3","2.2","0.0","37.8","53.3","8.9","","15.6","84.4","64.4","4.4","4.4","4.4","2.2","2.2","13.3","2.2","0.0","37.8","53.3","8.9","NCES","Sacramento (County, 2022)"
"Carrington College-Administrative Office","7801 Folsom Blvd., Ste. 210","Sacramento","CA","95826","916-388-2800","http://www.carrington.edu","","","","Administrative Unit","At least 2 but less than 4 years","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational, Academic","Associate's degree","","","","943166490","974800","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://carrington.edu/financial-aid/net-price-calculator/","","Not Indicated","","Not Indicated","","","","","Not Indicated","","","","","","","","","","","","","","","","","","","","","","","","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
"InterCoast Colleges-Rancho Cordova","9738 Lincoln Village Dr. Suite 120","Rancho Cordova","CA","95827","916-714-5400","http://www.intercoast.edu","Degree-granting, associate's and certificates","","Under 1,000","Private for-profit, 2-year","At least 2 but less than 4 years","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational","Associate's degree","Academic/career counseling service, Employment services for students, Placement services for completers","Weekend/evening college","","954501439","2559406","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://www.intercoast.edu","","Not Indicated","","Not Indicated","","","","130","100.0","50.0","0.0","50.0","0.0","27","28","7","4","8","2","25","0","0","32","","","","100","0","0","","","","80","Not Indicated","71","77","65","75","66","86","100","90","100","100","71","Not Indicated","Not Indicated","1","0.0","100.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","","0.0","100.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","NCES","Sacramento (County, 2022)"
"Citrus Heights Beauty College","7518 Baird Way","Citrus Heights","CA","95610","","http://www.chbeautycollege.com","Nondegree-granting, sub-baccalaureate","","Under 1,000","Private for-profit, less-than 2-year","Less than 2 years (below associate)","Private for-profit","","No","No","Title IV postsecondary institution","Not a Land Grant Institution","","Occupational","At least 1, but less than 2 academic yrs","Academic/career counseling service, Placement services for completers","","","940883479","2178700","No tenure system","","","","","","","","","","","","","","","","","","","","","","","","","http://www.chbeautycollege.com","","Not Indicated","","Not Indicated","","","","89","100.0","30.3","0.0","69.7","0.0","83","3","0","1","1","1","6","0","1","100","8","63","29","100","0","0","","","","85","Not Indicated","83","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","Not Indicated","","","","","","","","","","","","","","","","79","","","","","","","","","","","","","","","NCES","Sacramento (County, 2022)"
